# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.78,4.95,-0.1669183070515797,0,3.0,-0.5201513046752498,0.0,0.0,-0.0014035044821243275
 0.0843842650908906,1.7906810109664797,4.9499688832,-0.1669183070515797,0.25315279527267176,2.9999999999999996,-0.5201513046752498,-0.00011843369427583239,-9.040493863878492,-0.00998432983144932
 0.1199682638942119,1.8015881345599014,4.9498758656,-0.4886152298852655,0.35990479168263567,3.0,-0.48488714123717996,-0.00047371607505009017,-11.041646039430223,-0.021353247183117246
 0.14769589515275985,1.812719603190582,4.949721446400001,-0.7947739197539931,0.4430876854582795,2.9999999999999987,-0.4527270949447307,-0.0010657910391161929,-12.294289792090654,-0.03493389832322954
 0.1714199595039321,1.8240736492688379,4.9495061248,-1.086444441933512,0.5142598785117962,3.0,-0.4233386164465954,-0.0018945650909737988,-13.118071581659997,-0.05024514408645758
 0.1926228495739797,1.8356485052049858,4.9492304,-1.3645854716104644,0.577868548721939,3.0,-0.3964306303987921,-0.0029599073575926615,-13.658976755785204,-0.06697267532094253
 0.21205976537954227,1.8474424034093428,4.9488947712,-1.6300738528027974,0.6361792961386268,3.0000000000000027,-0.3717476864816693,-0.004261649609079099,-14.000434596455982,-0.08489139724100965
 0.23017628514650862,1.8594535762922255,4.9484997376,-1.8837130029156117,0.6905288554395258,2.9999999999999987,-0.3490650237274901,-0.005799586285241243,-14.195814999857683,-0.10383073413005779
 0.24726070872947717,1.8716802562639505,4.948045798400001,-2.1262403194786392,0.7417821261884314,2.9999999999999982,-0.32818439276102473,-0.0075734745280497395,-14.281657118323677,-0.12365643384514464
 0.26351186226390827,1.884120675734834,4.9475334528,-2.358333722034618,0.7905355867917248,3.0000000000000018,-0.30893050872209954,-0.009583034219987407,-14.284126079421274,-0.14425992053324535
 0.27907345275971357,1.8967730671151932,4.946963200000001,-2.5806174426730246,0.8372203582791408,3.000000000000007,-0.29114803141132023,-0.011827948028283186,-14.222558472179974,-0.16555156102858357
 0.2940531570363278,1.9096356628153446,4.9463355392,-2.7936671626431346,0.8821594711089834,3.0,-0.2746989866004199,-0.014307861455023219,-14.11157782801409,-0.18745615392984474
 0.308533990987086,1.922706695245605,4.9456509696,-2.9980145779538083,0.9256019729612581,3.000000000000004,-0.2594605585347266,-0.017022382893129073,-13.962437061961605,-0.20990977106531522
 0.3225814590020521,1.9359843968162909,4.9449099904,-3.194151465992691,0.9677443770061565,3.000000000000004,-0.2453231944239649,-0.019971083688197944,-13.783911518314758,-0.2328574673780045
 0.33624825076882825,1.949466999937719,4.9441131008,-3.382533314445166,1.008744752306485,3.000000000000004,-0.23218897335162772,-0.023153498206192002,-13.582915573163216,-0.2562515730853501
 0.3495774399700874,1.9631527370202058,4.9432608,-3.563582566024588,1.0487323199102623,2.9999999999999916,-0.21997019861780198,-0.02656912390696692,-13.364941231843268,-0.2800503903043977
 0.36260472949715183,1.9770398404740686,4.9423535872,-3.7376915249640112,1.0878141884914556,3.0,-0.20858818028208367,-0.03021742142362971,-13.134377792681507,-0.3042171790123729
 0.3753600684187656,1.9911265427096236,4.9413919616,-3.9052249652341815,1.126080205256297,3.0000000000000044,-0.19797217942305442,-0.03409781464770978,-12.89474955778911,-0.32871935517572565
 0.38786884256815035,2.0054110761371873,4.9403764224,-4.066522475165444,1.1636065277044514,3.0000000000000133,-0.18805849083183568,-0.03820969082013431,-12.648895611565552,-0.3535278477800116
 0.4001527682479096,2.019891673167077,4.9393074688,-4.221900568788948,1.2004583047437292,3.000000000000009,-0.1787896437311643,-0.042552400627989206,-12.399107722859261,-0.3786165770496637
 0.41223057454656076,2.034566566209609,4.938185600000001,-4.371654590141752,1.2366917236396828,3.0000000000000093,-0.1701137043813178,-0.047125258307053386,-12.147237434982474,-0.4039620265648341
 0.42411853214463724,2.0494339876750995,4.9370113152,-4.516060433702591,1.2723555964339124,3.0000000000000093,-0.16198366564008215,-0.05192754175008918,-11.894780091571183,-0.4295428891412019
 0.435830868672523,2.064492169973866,4.935785113600001,-4.655376101060269,1.3074926060175696,2.999999999999986,-0.15435691226288514,-0.05695849262087127,-11.642941381867713,-0.4553397713642633
 0.4473800989040681,2.079739345516225,4.9345074944,-4.789843111651843,1.3421402967122047,2.9999999999999902,-0.14719475073458724,-0.062217316473936246,-11.39269044434721,-0.48133494527060333
 0.45877729011156543,2.0951737467124927,4.9331789568,-4.919687783013895,1.3763318703346967,3.000000000000005,-0.14046199611622356,-0.06770318288003557,-11.144802560999008,-0.5075121382921772
 0.47003227742370274,2.110793605972986,4.9318,-5.045122394434215,1.4100968322711087,3.000000000000005,-0.13412660700895065,-0.0734152255572697,-10.899893673425183,-0.5338563545236006
 0.4811538401817451,2.126597155708022,4.9303711232000005,-5.166346245979202,1.443461520545236,3.000000000000005,-0.12815936368824715,-0.07935254250788365,-10.658448456643923,-0.560353721831084
 0.49214984754774443,2.142582628327917,4.9288928256,-5.283546623718583,1.4764495426432338,2.999999999999995,-0.12253358283503961,-0.08551419616070338,-10.420843248888849,-0.586991360432029
 0.5030273796357569,2.158748256242988,4.9273656064,-5.39689968054252,1.5090821389072713,2.999999999999995,-0.11722486488406242,-0.0918992135191889,-10.187364874551696,-0.6137572694285313
