# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.75,4.95,0.0,0,3.0,0,0.0,0.0,0.0
 0.08392278490577806,1.7605645507395122,4.95,0.0,0.25176835471733416,2.9999999999999996,0,0.0,0.0,0.0
 0.1186689535480159,1.7711234808042717,4.95,0.0,0.3560068606440477,3.0,0,0.0,0.0,0.0
 0.14531988469799173,1.7816768033329564,4.95,0.0,0.4359596540939752,3.000000000000001,0,0.0,0.0,0.0
 0.16777868649750743,1.7922245314642433,4.95,0.0,0.5033360594925222,2.9999999999999973,0,0.0,0.0,0.0
 0.18755741936237325,1.8027666783368097,4.95,0.0,0.5626722580871196,2.9999999999999973,0,0.0,0.0,0.0
 0.20543167086135686,1.8133032570893333,4.95,0.0,0.6162950125840704,2.9999999999999956,0,0.0,0.0,0.0
 0.22186224083199477,1.823834280860491,4.95,0.0,0.665586722495984,2.9999999999999964,0,0.0,0.0,0.0
 0.23714940830477982,1.8343597627889607,4.95,0.0,0.7114482249143392,3.0000000000000018,0,0.0,0.0,0.0
 0.25150177734748935,1.8448797160134192,4.95,0.0,0.7545053320424678,3.0,0,0.0,0.0,0.0
 0.2650712529019871,1.8553941536725438,4.95,0.0,0.795213758705961,3.0,0,0.0,0.0,0.0
 0.2779725273056222,1.8659030889050123,4.95,0.0,0.8339175819168665,3.0000000000000044,0,0.0,0.0,0.0
 0.2902947178868418,1.8764065348495016,4.95,0.0,0.8708841536605253,3.0000000000000044,0,0.0,0.0,0.0
 0.30210870520911237,1.8869045046446895,4.95,0.0,0.9063261156273369,2.9999999999999907,0,0.0,0.0,0.0
 0.31347196730516186,1.8973970114292527,4.95,0.0,0.9404159019154853,2.999999999999995,0,0.0,0.0,0.0
 0.3244318812343296,1.9078840683418692,4.95,0.0,0.9732956437029886,3.00000000000001,0,0.0,0.0,0.0
 0.3350280471057271,1.918365688521216,4.95,0.0,1.0050841413171812,3.0000000000000053,0,0.0,0.0,0.0
 0.34529396664868073,1.9288418851059703,4.95,0.0,1.035881899946042,2.9999999999999893,0,0.0,0.0,0.0
 0.35525828278855553,1.9393126712348099,4.95,0.0,1.0657748483656664,3.0,0,0.0,0.0,0.0
 0.3649457129002538,1.9497780600464116,4.95,0.0,1.0948371387007612,3.0,0,0.0,0.0,0.0
 0.3743777634773493,1.960238064679453,4.95,0.0,1.1231332904320477,3.0,0,0.0,0.0,0.0
 0.38357328571613875,1.9706926982726118,4.95,0.0,1.150719857148416,3.000000000000006,0,0.0,0.0,0.0
 0.39254891327032093,1.9811419739645648,4.95,0.0,1.1776467398109625,2.9999999999999813,0,0.0,0.0,0.0
 0.40131941135375726,1.9915859048939892,4.95,0.0,1.2039582340612713,2.999999999999987,0,0.0,0.0,0.0
 0.40989795819574665,2.002024504199563,4.95,0.0,1.2296938745872397,3.0000000000000195,0,0.0,0.0,0.0
 0.41829637421327864,2.0124577850199628,4.95,0.0,1.2548891226398355,2.9999999999999867,0,0.0,0.0,0.0
 0.42652531030320434,2.022885760493867,4.95,0.0,1.2795759309096126,3.0,0,0.0,0.0,0.0
 0.4345944038295565,2.0333084437599513,4.95,0.0,1.3037832114886692,3.0000000000000067,0,0.0,0.0,0.0
 0.44251240883308934,2.0437258479568947,4.95,0.0,1.3275372264992678,3.000000000000007,0,0.0,0.0,0.0
 0.450287305486452,2.054137986223374,4.95,0.0,1.3508619164593558,3.000000000000007,0,0.0,0.0,0.0
 0.4579263927008834,2.0645448716980654,4.95,0.0,1.37377917810265,3.0,0,0.0,0.0,0.0
 0.46543636695016166,2.074946517519648,4.95,0.0,1.3963091008504847,2.9999999999999853,0,0.0,0.0,0.0
 0.47282338973926846,2.085342936826798,4.95,0.0,1.4184701692178052,3.0000000000000226,0,0.0,0.0,0.0
 0.4800931456555721,2.0957341427581935,4.95,0.0,1.4402794369667162,3.000000000000015,0,0.0,0.0,0.0
 0.4872508925611879,2.1061201484525114,4.95,0.0,1.4617526776835639,3.000000000000023,0,0.0,0.0,0.0
 0.49430150518917687,2.1165009670484287,4.95,0.0,1.4829045155675307,2.999999999999992,0,0.0,0.0,0.0
 0.5012495131732454,2.126876611684623,4.95,0.0,1.503748539519736,2.999999999999976,0,0.0,0.0,0.0
 0.5080991343558673,2.1372470954997724,4.95,0.0,1.5242974030676018,3.0,0,0.0,0.0,0.0
 0.5148543040722316,2.147612431632553,4.95,0.0,1.5445629122166948,3.0,0,0.0,0.0,0.0
 0.5215187009888477,2.1579726332216427,4.95,0.0,1.5645561029665431,3.0000000000000333,0,0.0,0.0,0.0
 0.5280957699797257,2.168327713405719,4.95,0.0,1.5842873099391772,2.999999999999983,0,0.0,0.0,0.0
 0.5345887424450433,2.1786776853234593,4.95,0.0,1.6037662273351299,3.0,0,0.0,0.0,0.0
 0.5410006544133689,2.18902256211354,4.95,0.0,1.6230019632401067,3.0000000000000173,0,0.0,0.0,0.0
 0.5473343627160276,2.1993623569146403,4.95,0.0,1.6420030881480832,3.0000000000000173,0,0.0,0.0,0.0
 0.5535925594788015,2.2096970828654356,4.95,0.0,1.6607776784364046,2.9999999999999822,0,0.0,0.0,0.0
 0.5597777851401419,2.2200267531046043,4.95,0.0,1.6793333554204255,2.999999999999964,0,0.0,0.0,0.0
 0.5658924401749997,2.2303513807708235,4.95,0.0,1.697677320524999,3.0,0,0.0,0.0,0.0
